127.0.0.1 - - [08/Apr/2015:09:05:06 +0800] "GET / HTTP/1.1" 404 -
192.168.0.100 - - [08/Apr/2015:09:06:48 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 245
192.168.0.100 - - [08/Apr/2015:09:06:48 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 173
192.168.0.100 - - [08/Apr/2015:09:06:48 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=B07FDF60538B52E9FE11490298A6C8ED HTTP/1.1" 200 99
192.168.0.100 - - [08/Apr/2015:09:06:48 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 173
192.168.0.100 - - [08/Apr/2015:09:06:48 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 173
192.168.0.100 - - [08/Apr/2015:09:06:48 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 820
192.168.0.100 - - [08/Apr/2015:09:06:48 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=B07FDF60538B52E9FE11490298A6C8ED HTTP/1.1" 200 63
192.168.0.100 - - [08/Apr/2015:09:06:48 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 514
192.168.0.100 - - [08/Apr/2015:09:06:48 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 215
192.168.0.100 - - [08/Apr/2015:09:06:51 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 173
192.168.0.100 - - [08/Apr/2015:09:06:51 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=B07FDF60538B52E9FE11490298A6C8ED HTTP/1.1" 200 63
192.168.0.100 - - [08/Apr/2015:09:06:51 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 138
192.168.0.100 - - [08/Apr/2015:09:06:54 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=B07FDF60538B52E9FE11490298A6C8ED HTTP/1.1" 200 63
192.168.0.100 - - [08/Apr/2015:09:06:57 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=B07FDF60538B52E9FE11490298A6C8ED HTTP/1.1" 200 487
192.168.0.100 - - [08/Apr/2015:09:07:00 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=B07FDF60538B52E9FE11490298A6C8ED HTTP/1.1" 200 63
192.168.0.100 - - [08/Apr/2015:09:07:03 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=B07FDF60538B52E9FE11490298A6C8ED HTTP/1.1" 200 63
192.168.0.100 - - [08/Apr/2015:09:07:06 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=B07FDF60538B52E9FE11490298A6C8ED HTTP/1.1" 200 63
192.168.0.100 - - [08/Apr/2015:09:07:09 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=B07FDF60538B52E9FE11490298A6C8ED HTTP/1.1" 200 657
192.168.0.100 - - [08/Apr/2015:09:07:31 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 245
192.168.0.100 - - [08/Apr/2015:09:07:31 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 173
192.168.0.100 - - [08/Apr/2015:09:07:31 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=475761D237B3153C62D0A3F017098FB2 HTTP/1.1" 200 99
192.168.0.100 - - [08/Apr/2015:09:07:31 +0800] "POST /dataservices-samples/messagebroker/amf;jsessionid=475761D237B3153C62D0A3F017098FB2 HTTP/1.1" 200 63
192.168.0.100 - - [08/Apr/2015:09:07:31 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 820
192.168.0.100 - - [08/Apr/2015:09:07:31 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 173
192.168.0.100 - - [08/Apr/2015:09:07:31 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 173
192.168.0.100 - - [08/Apr/2015:09:07:31 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 514
192.168.0.100 - - [08/Apr/2015:09:07:31 +0800] "POST /dataservices-samples/messagebroker/amf HTTP/1.1" 200 215
