192.168.0.121 - - [29/Jan/2015:11:56:54 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:54 +0800] "GET /videotest/VideoTest1.jsp HTTP/1.1" 404 -
192.168.0.121 - - [29/Jan/2015:11:57:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:57:15 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:57:16 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:57:25 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:57:25 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:11:57:26 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:57:30 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:57:30 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:11:57:31 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:57:42 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:57:53 +0800] "GET /videotest/VideoTest1.jsp HTTP/1.1" 404 -
192.168.0.121 - - [29/Jan/2015:12:31:46 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:31:46 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:31:46 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:31:46 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:31:46 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:31:46 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:31:46 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:31:56 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:31:56 +0800] "GET /videotest/history/history.css HTTP/1.1" 200 1209
192.168.0.121 - - [29/Jan/2015:12:31:56 +0800] "GET /videotest/swfobject.js HTTP/1.1" 200 10220
192.168.0.121 - - [29/Jan/2015:12:31:56 +0800] "GET /videotest/history/history.js HTTP/1.1" 200 26166
192.168.0.121 - - [29/Jan/2015:12:31:56 +0800] "GET /videotest/VideoTest.swf HTTP/1.1" 200 258647
192.168.0.121 - - [29/Jan/2015:12:31:57 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:31:57 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
